idT,idR
1332,R001
1417,R001
1148,R001
1385,R001
1013,R001
1118,R001
1434,R001
1376,R001
1170,R001
1176,R001
1125,R001
1312,R002
1447,R002
1196,R002
1267,R002
1165,R002
1094,R002
1227,R002
1323,R002
1073,R003
1481,R003
1105,R003
1065,R003
1047,R003
1089,R003
1304,R003
1282,R003
1426,R003
1408,R003
1478,R003
1121,R003
1260,R003
1041,R003
1219,R003
1128,R004
1156,R004
1147,R004
1296,R004
1230,R004
1496,R004
1326,R004
1104,R004
1140,R004
1442,R004
1401,R004
1247,R004
1041,R004
1487,R004
1377,R005
1222,R005
1390,R005
1080,R005
1420,R005
1489,R005
1407,R005
1247,R005
1011,R005
1391,R005
1196,R005
1219,R005
1438,R005
1043,R005
1157,R006
1233,R006
1146,R006
1193,R006
1288,R006
1311,R006
1247,R006
1037,R006
1171,R006
1070,R006
1367,R006
1241,R006
1374,R007
1372,R007
1192,R007
1252,R007
1208,R007
1474,R007
1213,R007
1482,R007
1203,R007
1497,R007
1381,R007
1197,R007
1251,R007
1084,R008
1100,R008
1391,R008
1224,R008
1491,R008
1131,R008
1395,R008
1468,R008
1385,R008
1370,R008
1179,R008
1261,R008
1364,R008
1251,R008
1472,R009
1417,R009
1186,R009
1324,R009
1362,R009
1297,R010
1488,R010
1340,R010
1431,R010
1083,R010
1007,R010
1060,R010
1395,R010
1048,R010
1330,R010
1365,R010
1470,R010
1197,R010
1204,R010
1257,R011
1496,R011
1273,R011
1338,R011
1454,R011
1196,R011
1301,R011
1158,R011
1376,R011
1477,R012
1384,R012
1204,R012
1358,R012
1158,R012
1004,R012
1087,R012
1418,R012
1376,R013
1221,R013
1088,R013
1091,R013
1192,R013
1096,R013
1361,R013
1069,R013
1102,R013
1031,R014
1384,R014
1094,R014
1415,R014
1389,R014
1099,R014
1133,R014
1462,R014
1194,R015
1064,R015
1142,R015
1033,R015
1176,R015
1016,R015
1341,R016
1299,R016
1405,R016
1022,R016
1050,R016
1478,R017
1249,R017
1243,R017
1388,R017
1173,R017
1310,R017
1220,R017
1190,R017
1350,R017
1448,R018
1170,R018
1413,R018
1052,R018
1002,R018
1234,R018
1446,R018
1358,R018
1206,R018
1372,R018
1189,R019
1232,R019
1317,R019
1352,R019
1338,R019
1446,R019
1244,R019
1264,R019
1497,R020
1414,R020
1377,R020
1167,R020
1348,R020
1179,R021
1220,R021
1481,R021
1477,R021
1483,R021
1244,R021
1402,R022
1439,R022
1367,R022
1259,R022
1017,R022
1066,R022
1255,R022
1408,R022
1045,R022
1155,R022
1427,R022
1345,R022
1281,R022
1448,R022
1109,R023
1088,R023
1386,R023
1484,R023
1338,R023
1359,R023
1046,R023
1055,R023
1341,R024
1244,R024
1488,R024
1460,R024
1344,R024
1064,R024
1070,R024
1473,R024
1274,R024
1467,R025
1368,R025
1381,R025
1377,R025
1372,R025
1196,R025
1335,R025
1329,R025
1402,R025
1288,R025
1495,R025
1046,R026
1175,R026
1380,R026
1304,R026
1480,R026
1097,R026
1160,R027
1032,R027
1303,R027
1275,R027
1098,R027
1303,R028
1114,R028
1055,R028
1203,R028
1005,R028
1276,R028
1437,R028
1236,R028
1162,R028
1075,R028
1418,R028
1483,R028
1152,R028
1429,R028
1383,R029
1341,R029
1435,R029
1411,R029
1424,R029
1360,R029
1018,R029
1425,R030
1111,R030
1254,R030
1150,R030
1361,R030
1495,R030
1193,R030
1031,R030
1415,R030
1171,R030
1079,R030
1424,R030
1367,R030
1108,R030
1435,R030
1012,R031
1281,R031
1201,R031
1173,R031
1217,R031
1348,R031
1243,R031
1359,R032
1439,R032
1281,R032
1202,R032
1050,R032
1068,R032
1166,R032
1386,R032
1150,R033
1460,R033
1075,R033
1108,R033
1112,R033
1412,R033
1384,R033
1101,R033
1377,R033
1334,R033
1005,R033
1186,R033
1050,R034
1183,R034
1499,R034
1243,R034
1092,R034
1322,R035
1370,R035
1207,R035
1126,R035
1018,R035
1061,R035
1124,R035
1338,R036
1046,R036
1399,R036
1238,R036
